District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
RAMANAGARA,10,12128,1539.687662,-87.30468616,Rice,RGA
SHIVAMOGGA,10,384974,379988.962,-1.294902511,Rice,SMG
TUMAKURU,10,26042,23971.58956,-7.950274331,Rice,TKR
UDUPI,10,138156,141246.1788,2.236731485,Rice,UPI
UTTARA KANNADA,10,152981,229922.9672,50.29511322,Rice,UTK
Vijayanagara,10,206116,220132.5761,6.80033384,Rice,VNG
VIJAYAPURA,10,170,-14160.31149,-8429.594991,Rice,VJP
YADGIRI,10,224659,246604.5195,9.768368725,Rice,YDR
BAGALKOT,10,251699,257715.1728,2.390225169,Maize,BKT
BALLARI,10,104045,155511.799,49.46590317,Maize,BLL
BELAGAVI,10,576758,622857.4548,7.992859193,Maize,BLG
BENGALURU,10,2879,2203.25396,-23.47155402,Maize,BLR
BENGALURU(R),10,42583,42325.09518,-0.605652076,Maize,BLR(R)
BIDAR,10,2791,-1167.220014,-141.8208532,Maize,BDR
CHAMARAJANAGAR,10,147886,118310.9935,-19.9985168,Maize,CNR
CHIKKABALLAPURA,10,105491,190810.2131,80.87819157,Maize,CKA
CHIKKAMAGALURU,10,61353,99081.90011,61.4947926,Maize,CMG
CHITRADURGA,10,271975,289189.1445,6.32931134,Maize,CDA
DAKSHINA KANNADA,10,0,0,0,Maize,DKA
DAVANAGERE,10,593544,573774.4594,-3.330762445,Maize,DVG
DHARAWAD,10,90634,120669.0687,33.13885372,Maize,DWD
GADAG,10,138476,162924.6719,17.65553011,Maize,GDG
HASSAN,10,333937,317290.7111,-4.984859103,Maize,HSN
HAVERI,10,413487,421856.741,2.024184794,Maize,HVR
KALABURAGI,10,14621,5982.18695,-59.08496717,Maize,KLB
KODAGU,10,17921,27603.26264,54.02746856,Maize,KDG
KOLAR,10,1759,-1227.398062,-169.778173,Maize,KLR
KOPPAL,10,190252,174468.4148,-8.2961468,Maize,KPL
MANDYA,10,19387,15837.98255,-18.3061714,Maize,MDY
MYSURU,10,137154,137269.801,0.084431384,Maize,MYS
RAICHUR,10,723,633.6281695,-12.36124904,Maize,RCR
RAMANAGARA,10,10450,3091.581026,-70.41549257,Maize,RGA
SHIVAMOGGA,10,226532,156346.4514,-30.98261995,Maize,SMG
TUMAKURU,10,66868,73231.14483,9.515978991,Maize,TKR
UDUPI,10,109,-5429.703038,-5081.378934,Maize,UPI
UTTARA KANNADA,10,24088,13542.34303,-43.77971175,Maize,UTK
Vijayanagara,10,104045,155526.097,49.47964531,Maize,VNG
VIJAYAPURA,10,226327,181416.3455,-19.84325976,Maize,VJP
YADGIRI,10,2673,-1244.624638,-146.5628372,Maize,YDR
BAGALKOT,20,85,-14221.27949,-16830.91705,Rice,BKT
BALLARI,20,206116,225648.9718,9.47668875,Rice,BLL
BELAGAVI,20,177552,245169.1118,38.08299077,Rice,BLG
BENGALURU,20,3376,-9711.45789,-387.6616674,Rice,BLR
BENGALURU(R),20,2354,-11234.7686,-577.2628972,Rice,BLR(R)
BIDAR,20,2036,-8864.608816,-535.3933603,Rice,BDR
CHAMARAJANAGAR,20,45856,40548.99457,-11.57319747,Rice,CNR
CHIKKABALLAPURA,20,2698,-9082.486307,-436.6377431,Rice,CKA
CHIKKAMAGALURU,20,110533,131527.0069,18.99342903,Rice,CMG
CHITRADURGA,20,4566,-9317.961582,-304.072746,Rice,CDA
DAKSHINA KANNADA,20,132588,183760.4559,38.59508849,Rice,DKA
DAVANAGERE,20,489505,398678.6758,-18.55472859,Rice,DVG
DHARAWAD,20,33989,75018.63874,120.7144627,Rice,DWD
GADAG,20,7258,-7508.235916,-203.4477255,Rice,GDG
HASSAN,20,143705,155961.2976,8.52878993,Rice,HSN
HAVERI,20,125422,135213.4972,7.806841835,Rice,HVR
KALABURAGI,20,7888,1777.949538,-77.46007178,Rice,KLB
KODAGU,20,86303,147525.2386,70.93871428,Rice,KDG
KOLAR,20,864,-12610.26681,-1559.521621,Rice,KLR
KOPPAL,20,243505,211129.3337,-13.29568851,Rice,KPL
MANDYA,20,246543,250780.8884,1.718924648,Rice,MDY
MYSURU,20,354227,366652.1189,3.507671332,Rice,MYS
