District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
HAVERI,10,413487,365083.5238,-11.70616637,Maize,HVR
KALABURAGI,10,14621,27658.98565,89.17300901,Maize,KLB
KODAGU,10,17921,72747.0256,305.9317315,Maize,KDG
KOLAR,10,1759,19804.57357,1025.899577,Maize,KLR
KOPPAL,10,190252,192790.3421,1.334199981,Maize,KPL
MANDYA,10,19387,39516.86038,103.8317449,Maize,MDY
MYSURU,10,137154,127745.2146,-6.860015297,Maize,MYS
RAICHUR,10,723,17248.57004,2285.694334,Maize,RCR
RAMANAGARA,10,10450,19827.72581,89.73900295,Maize,RGA
SHIVAMOGGA,10,226532,183652.0253,-18.92888186,Maize,SMG
TUMAKURU,10,66868,60343.71244,-9.756965306,Maize,TKR
UDUPI,10,109,16297.62287,14851.94759,Maize,UPI
UTTARA KANNADA,10,24088,32723.55083,35.85001175,Maize,UTK
Vijayanagara,10,104045,151159.3698,45.28268516,Maize,VNG
VIJAYAPURA,10,226327,183520.8088,-18.91342667,Maize,VJP
YADGIRI,10,2673,22177.57415,729.6885203,Maize,YDR
BAGALKOT,20,85,22081.07334,25877.73334,Rice,BKT
BALLARI,20,206116,261363.6424,26.80415028,Rice,BLL
BELAGAVI,20,177552,235714.2892,32.75789019,Rice,BLG
BENGALURU,20,3376,29357.73701,769.6012147,Rice,BLR
BENGALURU(R),20,2354,24382.91832,935.8079151,Rice,BLR(R)
BIDAR,20,2036,24585.44288,1107.536487,Rice,BDR
CHAMARAJANAGAR,20,45856,54470.51656,18.78601831,Rice,CNR
CHIKKABALLAPURA,20,2698,24984.02354,826.020146,Rice,CKA
CHIKKAMAGALURU,20,110533,233253.1458,111.0257985,Rice,CMG
CHITRADURGA,20,4566,24601.4386,438.79629,Rice,CDA
DAKSHINA KANNADA,20,132588,149917.6433,13.07029541,Rice,DKA
DAVANAGERE,20,489505,326760.5326,-33.24674261,Rice,DVG
DHARAWAD,20,33989,56736.93941,66.92735713,Rice,DWD
GADAG,20,7258,26183.41906,260.752536,Rice,GDG
